Episode:  88 , Cumulative reward:  40085.0 , Epsilon: 0.04960000 , Target runs:  10 Crashes:  56
Episode:  89 , Cumulative reward:  -53125.5 , Epsilon: 0.02320000 , Target runs:  1 Crashes:  73
Episode:  90 , Cumulative reward:  -79866.0 , Epsilon: 0.01000000 , Target runs:  0 Crashes:  59
Episode:  91 , Cumulative reward:  51279.0 , Epsilon: 0.01000000 , Target runs:  11 Crashes:  54
Episode:  92 , Cumulative reward:  28015.0 , Epsilon: 0.01000000 , Target runs:  9 Crashes:  58
Episode:  93 , Cumulative reward:  41978.0 , Epsilon: 0.01000000 , Target runs:  10 Crashes:  53
Episode:  94 , Cumulative reward:  53393.0 , Epsilon: 0.01000000 , Target runs:  11 Crashes:  51
Episode:  95 , Cumulative reward:  51965.5 , Epsilon: 0.01000000 , Target runs:  11 Crashes:  52
Episode:  96 , Cumulative reward:  -63684.0 , Epsilon: 0.01000000 , Target runs:  0 Crashes:  71
Episode:  97 , Cumulative reward:  50745.0 , Epsilon: 0.01000000 , Target runs:  11 Crashes:  53
Episode:  98 , Cumulative reward:  4697.0 , Epsilon: 0.01000000 , Target runs:  7 Crashes:  64
Episode:  99 , Cumulative reward:  35856.0 , Epsilon: 0.01000000 , Target runs:  9 Crashes:  52
Episode:  100 , Cumulative reward:  27919.0 , Epsilon: 0.01000000 , Target runs:  9 Crashes:  57
Episode:  101 , Cumulative reward:  -94040.5 , Epsilon: 0.01000000 , Target runs:  0 Crashes:  102
Episode:  102 , Cumulative reward:  -34527.0 , Epsilon: 1.00000000 , Target runs:  4 Crashes:  84
Episode:  103 , Cumulative reward:  -42476.5 , Epsilon: 0.97360000 , Target runs:  3 Crashes:  77
Episode:  104 , Cumulative reward:  -56256.0 , Epsilon: 0.94720000 , Target runs:  2 Crashes:  82
Episode:  105 , Cumulative reward:  -69933.0 , Epsilon: 0.92080000 , Target runs:  1 Crashes:  88
Episode:  106 , Cumulative reward:  -54044.0 , Epsilon: 0.89440000 , Target runs:  2 Crashes:  91
Episode:  107 , Cumulative reward:  -58124.5 , Epsilon: 0.86800000 , Target runs:  2 Crashes:  84
Episode:  108 , Cumulative reward:  -81499.5 , Epsilon: 0.84160000 , Target runs:  0 Crashes:  98
Episode:  109 , Cumulative reward:  -44081.5 , Epsilon: 0.81520000 , Target runs:  3 Crashes:  81
Episode:  110 , Cumulative reward:  -58505.0 , Epsilon: 0.78880000 , Target runs:  2 Crashes:  85
Episode:  111 , Cumulative reward:  -65340.5 , Epsilon: 0.76240000 , Target runs:  1 Crashes:  79
Episode:  112 , Cumulative reward:  -52653.0 , Epsilon: 0.73600000 , Target runs:  2 Crashes:  75
Episode:  113 , Cumulative reward:  -63871.5 , Epsilon: 0.70960000 , Target runs:  1 Crashes:  84
Episode:  114 , Cumulative reward:  -60394.0 , Epsilon: 0.68320000 , Target runs:  1 Crashes:  76
Episode:  115 , Cumulative reward:  -55073.0 , Epsilon: 0.65680000 , Target runs:  2 Crashes:  78
Episode:  116 , Cumulative reward:  411.0 , Epsilon: 0.63040000 , Target runs:  6 Crashes:  61
Episode:  117 , Cumulative reward:  -27681.0 , Epsilon: 0.60400000 , Target runs:  4 Crashes:  69
Episode:  118 , Cumulative reward:  -19179.5 , Epsilon: 0.57760000 , Target runs:  5 Crashes:  72
Episode:  119 , Cumulative reward:  -41613.5 , Epsilon: 0.55120000 , Target runs:  3 Crashes:  74
Episode:  120 , Cumulative reward:  -26722.0 , Epsilon: 0.52480000 , Target runs:  4 Crashes:  72
Episode:  121 , Cumulative reward:  -6161.5 , Epsilon: 0.49840000 , Target runs:  6 Crashes:  70
Episode:  122 , Cumulative reward:  -31286.0 , Epsilon: 0.47200000 , Target runs:  4 Crashes:  87
Episode:  123 , Cumulative reward:  -29430.0 , Epsilon: 0.44560000 , Target runs:  4 Crashes:  78
Episode:  124 , Cumulative reward:  -40532.0 , Epsilon: 0.41920000 , Target runs:  3 Crashes:  77
Episode:  125 , Cumulative reward:  3836.5 , Epsilon: 0.39280000 , Target runs:  7 Crashes:  65
Episode:  126 , Cumulative reward:  -62984.0 , Epsilon: 0.36640000 , Target runs:  1 Crashes:  76
Episode:  127 , Cumulative reward:  -24469.5 , Epsilon: 0.34000000 , Target runs:  4 Crashes:  71
